"LengthGroup","Year","estimate","lower","upper"
"Length bin 13-15",4,51.0702759495135,50.0646072935023,52.0759446055246
"Length bin 15-17",4,30.669945740199,29.9708175005548,31.3690739798431
"Length bin 17-19",4,35.9603855605974,35.0077094616398,36.9130616595549
"Length bin 19-21",4,42.6426607743359,41.6359850508658,43.649336497806
"Length bin 21-23",4,43.3928157222383,42.5342097177036,44.251421726773
"Length bin 23-25",4,39.9542494669139,39.2153291022054,40.6931698316224
"Length bin 25-27",4,35.9459325363312,35.1719039172648,36.7199611553975
"Length bin 27-29",4,32.958087633103,32.1772444717648,33.7389307944413
"Length bin 29-31",4,30.3939380163376,29.719623946011,31.0682520866641
"Length bin 31-33",4,27.3768939966836,26.8402394057395,27.9135485876277
"Length bin 33-35",4,23.8266482862703,23.3675068218533,24.2857897506872
"Length bin 35-37",4,20.1866152373568,19.7641010298282,20.6091294448855
"Length bin 37-39",4,16.853686224126,16.484827861749,17.222544586503
"Length bin 39-41",4,13.969646611139,13.6751541633347,14.2641390589433
"Length bin 41-43",4,11.5086729628827,11.2784334453665,11.7389124803989
"Length bin 43-45",4,9.40609912911784,9.20963721535792,9.60256104287776
"Length bin 45-47",4,7.61345745653007,7.43093716702,7.79597774604015
"Length bin 47-49",4,6.09744272642509,5.92677789351875,6.26810755933143
"Length bin >49",4,19.490496734631,18.6959657319839,20.2850277372781
"Length bin <7",5,8.56998121377814,8.35435557477352,8.78560685278275
"Length bin 7-9",5,35.234086568117,34.3867132847221,36.081459851512
"Length bin 9-11",5,71.8232473152147,70.1089967873769,73.5374978430525
"Length bin 11-13",5,68.9191551861632,67.3917914205203,70.446518951806
"Length bin 13-15",5,40.6392035481447,39.9079273326702,41.3704797636191
"Length bin 15-17",5,33.7744171223456,33.0197447055988,34.5290895390925
"Length bin 17-19",5,43.2031587323333,42.156414398432,44.2499030662347
"Length bin 19-21",5,50.1496247494219,49.0309093770547,51.2683401217891
"Length bin 21-23",5,48.7246690250714,47.7626791794709,49.6866588706718
"Length bin 23-25",5,41.9798048123924,41.2267828405943,42.7328267841906
"Length bin 25-27",5,35.2539222807992,34.5771584136878,35.9306861479106
"Length bin 27-29",5,31.1096555332613,30.4400293627484,31.7792817037742
"Length bin 29-31",5,28.8540194360754,28.2421386849058,29.465900187245
"Length bin 31-33",5,26.9567881379038,26.4358507305415,27.477725545266
"Length bin 33-35",5,24.6749949581146,24.2225228708734,25.1274670453557
"Length bin 35-37",5,22.0257567359733,21.6176373075637,22.4338761643829
"Length bin 37-39",5,19.2409734142211,18.8799735621324,19.6019732663099
"Length bin 39-41",5,16.4881578995612,16.181881464093,16.7944343350295
"Length bin 41-43",5,13.86171060987,13.6051176537575,14.1183035659826
"Length bin 43-45",5,11.4327846298986,11.2124644890761,11.6531047707212
"Length bin 45-47",5,9.26154895454286,9.06603153734415,9.45706637174158
"Length bin 47-49",5,7.38432769796246,7.20706215110016,7.56159324482476
"Length bin >49",5,23.2238530828311,22.364309470011,24.0833966956512
"Length bin <7",6,14.1954569354486,13.8494100284214,14.5415038424758
"Length bin 7-9",6,58.3596579065263,57.0020079458372,59.7173078672155
"Length bin 9-11",6,117.850641152684,115.113577392893,120.587704912476
"Length bin 11-13",6,108.247530793447,105.822366644845,110.672694942049
"Length bin 13-15",6,51.3838107522001,50.3256136535487,52.4420078508515
"Length bin 15-17",6,26.1200217710396,25.5383645163519,26.7016790257273
"Length bin 17-19",6,28.6901394892437,27.9117756635939,29.4685033148936
"Length bin 19-21",6,34.3301928215756,33.5012799271302,35.1591057160209
"Length bin 21-23",6,35.7510026551743,35.0361865902815,36.4658187200671
"Length bin 23-25",6,34.029619010531,33.4016025044253,34.6576355166367
"Length bin 25-27",6,31.7761969569027,31.1064608887486,32.4459330250568
"Length bin 27-29",6,30.0773099468483,29.389780978396,30.7648389153005
"Length bin 29-31",6,28.4391023041088,27.8266347138404,29.0515698943773
"Length bin 31-33",6,26.2556532878469,25.7487019620093,26.7626046136845
"Length bin 33-35",6,23.5693441391892,23.1304081077898,24.0082801705887
"Length bin 35-37",6,20.7828465647504,20.3797761185413,21.1859170109595
"Length bin 37-39",6,18.1903964143812,17.8267260625007,18.5540667662617
"Length bin 39-41",6,15.8454527936981,15.5316259552056,16.1592796321907
"Length bin 41-43",6,13.6790506705577,13.4115803679038,13.9465209732117
"Length bin 43-45",6,11.6331581315827,11.3988366244941,11.8674796386714
"Length bin 45-47",6,9.70602440967303,9.49379632423362,9.91825249511243
"Length bin 47-49",6,7.93265324818783,7.73728122786646,8.1280252685092
"Length bin >49",6,25.7223237577407,24.725960817959,26.7186866975224
"Length bin <7",7,19.6119084277241,19.1410039071049,20.0828129483434
"Length bin 7-9",7,80.6444777536196,78.8021885348326,82.4867669724066
"Length bin 9-11",7,162.786130374305,159.072248790518,166.500011958092
"Length bin 11-13",7,149.192808400249,145.899561804303,152.486054996196
"Length bin 13-15",7,69.8386242463059,68.4075875606803,71.2696609319314
"Length bin 15-17",7,33.4771465529165,32.7870281730651,34.1672649327678
"Length bin 17-19",7,34.6477460635145,33.7457523744334,35.5497397525955
"Length bin 19-21",7,39.0512040497687,38.1039435682731,39.9984645312643
"Length bin 21-23",7,36.9090968916488,36.1252779863958,37.6929157969018
"Length bin 23-25",7,30.431786133462,29.8453771466137,31.0181951203102
"Length bin 25-27",7,24.1977213215232,23.6784248981853,24.7170177448612
"Length bin 27-29",7,20.5007975373276,19.9959161707266,21.0056789039286
"Length bin 29-31",7,18.8419027168197,18.3983820298999,19.2854234037394
"Length bin 31-33",7,17.8779753184937,17.50499885102,18.2509517859673
"Length bin 33-35",7,16.8167102931869,16.4714753956331,17.1619451907407
"Length bin 35-37",7,15.4950649622884,15.1628611073222,15.8272688172547
"Length bin 37-39",7,13.9937292182246,13.6959971147706,14.2914613216786
"Length bin 39-41",7,12.4074821098563,12.1578874244661,12.6570767952465
"Length bin 41-43",7,10.8056271635933,10.5931369480645,11.0181173791222
"Length bin 43-45",7,9.2464645528632,9.05169288007835,9.44123622564806
"Length bin 45-47",7,7.78004585368202,7.594052047512,7.96603965985203
"Length bin 47-49",7,6.44153745336881,6.26462895299461,6.61844595374301
"Length bin >49",7,22.3891016766412,21.477882772993,23.3003205802894
"Length bin <7",8,21.2223491315599,20.6986944942784,21.7460037688415
"Length bin 7-9",8,87.2728163235384,85.2178205362571,89.3278121108198
"Length bin 9-11",8,176.786873172026,172.63379667524,180.939949668813
"Length bin 11-13",8,164.744781283404,161.048438411285,168.441124155523
"Length bin 13-15",8,84.4455633955313,82.8143763885509,86.0767504025116
"Length bin 15-17",8,52.8096894477004,51.7246827180945,53.8946961773064
"Length bin 17-19",8,61.2482828934792,59.7646274314652,62.7319383554932
"Length bin 19-21",8,69.0145616132505,67.4380532241088,70.5910700023922
"Length bin 21-23",8,64.015159820346,62.6906431044643,65.3396765362276
"Length bin 23-25",8,50.7221824594858,49.7843177199984,51.6600471989732
"Length bin 25-27",8,37.5059814039773,36.8163207928701,38.1956420150845
"Length bin 27-29",8,28.7163075528552,28.093264453228,29.3393506524825
"Length bin 29-31",8,23.7534679177182,23.1994946451729,24.3074411902635
"Length bin 31-33",8,20.5152095319504,20.0761161266325,20.9543029372684
"Length bin 33-35",8,17.8167766400326,17.4768894756477,18.1566638044174
"Length bin 35-37",8,15.452465890414,15.1647395098846,15.7401922709434
"Length bin 37-39",8,13.4789282963165,13.2197892405957,13.7380673520373
"Length bin 39-41",8,11.8489082477116,11.61784247324,12.0799740221832
"Length bin 41-43",8,10.4280346404817,10.2255413147741,10.6305279661892
"Length bin 43-45",8,9.10261007220032,8.9226909065234,9.28252923787723
"Length bin 45-47",8,7.82626548642091,7.66007623843153,7.99245473441029
"Length bin 47-49",8,6.60552322493918,6.44674770744062,6.76429874243774
"Length bin >49",8,24.0181519908181,23.130069193554,24.9062347880823
"Length bin <7",9,13.7290396951745,13.4125210489282,14.0455583414208
"Length bin 7-9",9,56.4507897074087,55.2235163918087,57.6780630230087
"Length bin 9-11",9,114.869280542638,112.393100092249,117.345460993026
"Length bin 11-13",9,109.3330149569,107.137807443556,111.528222470244
"Length bin 13-15",9,62.1711399546455,61.1299493453078,63.2123305639832
"Length bin 15-17",9,48.576515599136,47.5691336722739,49.5838975259981
"Length bin 17-19",9,61.1380938024592,59.7369807617142,62.5392068432042
"Length bin 19-21",9,70.8123107208409,69.3149384943348,72.3096829473469
"Length bin 21-23",9,68.4582313076646,67.1984062280782,69.7180563872511
"Length bin 23-25",9,58.0890739893038,57.1497330061956,59.028414972412
"Length bin 25-27",9,47.0529913425283,46.2051197382231,47.9008629468336
"Length bin 27-29",9,38.9797572832988,38.1274029886308,39.8321115779669
"Length bin 29-31",9,33.1870047500658,32.4503560959893,33.9236534041424
"Length bin 31-33",9,28.0295762379637,27.4811672814232,28.5779851945043
"Length bin 33-35",9,22.9956395462347,22.5823759966022,23.4089030958673
"Length bin 35-37",9,18.4553751224251,18.0992606866744,18.8114895581757
"Length bin 37-39",9,14.7852975408659,14.4743897404856,15.0962053412463
"Length bin 39-41",9,12.0130471758153,11.761398273532,12.2646960780986
"Length bin 41-43",9,9.93366851570746,9.73452216067232,10.1328148707426
"Length bin 43-45",9,8.31243871823303,8.13915318420402,8.48572425226204
"Length bin 45-47",9,6.9830702487315,6.81714919336853,7.14899130409447
"Length bin 47-49",9,5.85101063440982,5.69112456121706,6.01089670760258
"Length bin >49",9,22.4160859529162,21.5408261768785,23.2913457289539
"Length bin <7",10,25.7434175561388,25.1428668045769,26.3439683077008
"Length bin 7-9",10,105.840045090771,103.508937757211,108.171152424331
"Length bin 9-11",10,213.871815339612,209.172956610766,218.570674068459
"Length bin 11-13",10,197.052134771432,192.874180370303,201.23008917256
"Length bin 13-15",10,95.1638201595977,93.3290576318066,96.9985826873888
"Length bin 15-17",10,51.0300480714742,50.1645022750733,51.8955938678751
"Length bin 17-19",10,57.1721424814352,56.0267102339868,58.3175747288836
"Length bin 19-21",10,67.8174361200509,66.568467702594,69.0664045375078
"Length bin 21-23",10,69.3997125487077,68.2873177781589,70.5121073192564
"Length bin 23-25",10,64.3798382189628,63.4537763816427,65.3059000562828
"Length bin 25-27",10,58.3048166366979,57.4454868195453,59.1641464538505
"Length bin 27-29",10,53.5614467261933,52.7208526405425,54.402040811844
"Length bin 29-31",10,49.1769869496098,48.4150132913354,49.9389606078843
"Length bin 31-33",10,43.832260340797,43.1895273331382,44.4749933484558
"Length bin 33-35",10,37.5217644832868,36.986135886584,38.0573930799895
"Length bin 35-37",10,31.0744838206018,30.6219561525424,31.5270114886612
"Length bin 37-39",10,25.2199880064437,24.8407676195487,25.5992083933387
"Length bin 39-41",10,20.2475272550124,19.9376807798229,20.5573737302019
"Length bin 41-43",10,16.1457008672245,15.8949394304516,16.3964623039975
"Length bin 43-45",10,12.8101460358015,12.6031263450787,13.0171657265243
"Length bin 45-47",10,10.1350883221271,9.95843663321735,10.3117400110369
"Length bin 47-49",10,8.0189596924632,7.86337915298885,8.17454023193755
"Length bin >49",10,27.9890644872927,27.1287867266033,28.849342247982
"Length bin <7",11,17.4450045563747,17.0119084172564,17.878100695493
"Length bin 7-9",11,71.730067852745,70.0294901885892,73.4306455169009
"Length bin 9-11",11,146.423571948922,142.980166269173,149.866977628671
"Length bin 11-13",11,141.378546114749,138.310236894707,144.446855334791
"Length bin 13-15",11,85.5850283072512,84.1327620252012,87.0372945893012
"Length bin 15-17",11,73.9479002443061,72.4744227251994,75.4213777634128
"Length bin 17-19",11,94.9822187823555,92.9259624326417,97.0384751320692
"Length bin 19-21",11,109.122121112448,106.898759521741,111.345482703156
"Length bin 21-23",11,103.935900259344,101.991954957597,105.879845561092
"Length bin 23-25",11,86.6442207500143,85.1857044826722,88.1027370173565
"Length bin 25-27",11,69.6845700288328,68.5794948976789,70.7896451599867
"Length bin 27-29",11,59.1994475885206,58.1972684760956,60.2016267009457
"Length bin 29-31",11,53.7777613889605,52.8297274853791,54.7257952925418
"Length bin 31-33",11,49.8496780952518,49.0024509360307,50.6969052544729
"Length bin 33-35",11,45.459485055991,44.7204884123694,46.1984816996126
"Length bin 35-37",11,40.3783961597835,39.7326985781698,41.0240937413972
"Length bin 37-39",11,34.9797749157737,34.421560272519,35.5379895590283
"Length bin 39-41",11,29.6056769444154,29.1321385134987,30.0792153753322
"Length bin 41-43",11,24.4872552103368,24.0878700320016,24.8866403886721
"Length bin 43-45",11,19.8060767896807,19.4662534964561,20.1459000829052
"Length bin 45-47",11,15.7028571125336,15.4111853730467,15.9945288520205
"Length bin 47-49",11,12.2505886055338,11.9993467656962,12.5018304453714
"Length bin >49",11,37.9756233290907,36.7571180237415,39.1941286344399
"Length bin <7",12,26.5879123389772,25.9359388142547,27.2398858636998
"Length bin 7-9",12,109.299122433709,106.741900975387,111.856343892032
"Length bin 9-11",12,221.050198875091,215.890064516691,226.210333233491
"Length bin 11-13",12,204.521455073988,199.940508992103,209.102401155874
"Length bin 13-15",12,101.133588453014,99.1152581850314,103.151918720997
"Length bin 15-17",12,58.3626252465406,57.0968468793478,59.6284036137335
"Length bin 17-19",12,68.0694736376615,66.3386348888553,69.8003123864677
"Length bin 19-21",12,82.2324978467791,80.3640444728456,84.1009512207127
"Length bin 21-23",12,86.3084195439525,84.6665278123571,87.9503112755478
"Length bin 23-25",12,82.8233269284052,81.3928840322597,84.2537698245506
"Length bin 25-27",12,77.6281577836651,76.1477343584248,79.1085812089054
"Length bin 27-29",12,73.096404070873,71.5800984482957,74.6127096934503
"Length bin 29-31",12,68.120956648599,66.7530052718231,69.4889080253748
"Length bin 31-33",12,61.5556340941131,60.4289483515792,62.6823198366471
"Length bin 33-35",12,53.8627526359065,52.9390639245096,54.7864413473034
"Length bin 35-37",12,46.2679219002738,45.4707093747841,47.0651344257634
"Length bin 37-39",12,39.5693720897206,38.8613633685137,40.2773808109275
"Length bin 39-41",12,33.8466343648499,33.2252486818612,34.4680200478386
"Length bin 41-43",12,28.8182157814468,28.2815477179128,29.3548838449808
"Length bin 43-45",12,24.228817778756,23.7635397062611,24.6940958512509
"Length bin 45-47",12,19.9915347966996,19.5816399695278,20.4014296238714
"Length bin 47-49",12,16.1436594887973,15.7790673002112,16.5082516773834
"Length bin >49",12,50.3994238815653,48.6420354621237,52.1568123010069
"Length bin <7",13,15.3443155289404,14.9759681153779,15.712662942503
"Length bin 7-9",13,63.0846655383196,61.6492725478372,64.520058528802
"Length bin 9-11",13,128.708140188087,125.806863941794,131.609416434381
"Length bin 11-13",13,123.993246289623,121.410687691277,126.575804887968
"Length bin 13-15",13,74.3661005957181,73.0929538246299,75.6392473668063
"Length bin 15-17",13,63.4471567142686,62.0518401089735,64.8424733195636
"Length bin 17-19",13,81.566314570875,79.6412592678527,83.4913698738973
"Length bin 19-21",13,94.4699237059868,92.4313884497441,96.5084589622294
"Length bin 21-23",13,91.4370124352642,89.7010539053514,93.1729709651769
"Length bin 23-25",13,78.4760390008722,77.1012125017065,79.8508655000379
"Length bin 25-27",13,65.9213363391458,64.63431651585,67.2083561624416
"Length bin 27-29",13,58.7293171883,57.4409888562266,60.0176455203733
"Length bin 29-31",13,55.4922098073619,54.3238234383218,56.6605961764021
