"AgeGroup","Year","estimate","lower","upper"
"Age group 5",15,81.2825928945561,66.527503366746,96.0376824223661
"Age group 6",15,80.6053208283388,64.8401779280707,96.3704637286068
"Age group 7",15,33.9065998286272,24.6775392251338,43.1356604321205
"Age group 8",15,25.9684579416518,17.0330172098901,34.9038986734136
"Age group 9",15,17.1103905364544,11.4322202688735,22.7885608040354
"Age group 10",15,5.27081231423302,2.70907058595168,7.83255404251436
"Age group 11",15,2.11701113490695,0.884736490047396,3.34928577976651
"Age group 12",15,2.27833419418589,0.757431244584125,3.79923714378766
"Age group 13",15,1.27879131954774,0.341272474021559,2.21631016507393
"Age group 14",15,1.02927001643388,0.235266777689904,1.82327325517786
"Age group 15",15,1.36343475684538,0.261822783284113,2.46504673040665
"Age group 1",16,717.152208943492,700.856306724157,733.448111162827
"Age group 2",16,200.28782129939,194.599116303402,205.976526295379
"Age group 3",16,205.219858144602,198.242015222885,212.197701066319
"Age group 4",16,118.737630605931,109.330505987781,128.144755224081
"Age group 5",16,129.553684178647,117.143233778438,141.964134578857
"Age group 6",16,61.7728320941124,50.8776348766686,72.6680293115563
"Age group 7",16,60.5549028519291,48.5349964970523,72.574809206806
"Age group 8",16,24.1705399864535,17.1575327847853,31.1835471881217
"Age group 9",16,18.9265766585259,12.3126935770105,25.5404597400412
"Age group 10",16,12.3956098918977,7.84244993397433,16.948769849821
"Age group 11",16,3.85546973599447,1.86116790087123,5.84977157111771
"Age group 12",16,1.54127130767645,0.57071182423975,2.51183079111315
"Age group 13",16,1.66249532263383,0.440012978805429,2.88497766646223
"Age group 14",16,0.933242836024381,0.175205323157527,1.69128034889124
"Age group 15",16,1.41722283568464,0.23337213506277,2.60107353630651
"Age group 1",17,242.325195685925,236.293242715737,248.357148656113
"Age group 2",17,380.288075685031,369.726494261766,390.849657108296
"Age group 3",17,105.169209877374,93.9928220140816,116.345597740667
"Age group 4",17,107.136653403179,92.757197653251,121.516109153106
"Age group 5",17,70.5118278231692,56.6423332237994,84.3813224225391
"Age group 6",17,66.9586719275025,51.653884175693,82.263459679312
"Age group 7",17,31.1282906462089,20.9634648461193,41.2931164462985
"Age group 8",17,25.6308464137795,14.2572678015169,37.0044250260421
"Age group 9",17,12.9451049830847,7.89799173673612,17.9922182294333
"Age group 10",17,11.2413682748152,6.73769894469614,15.7450376049342
"Age group 11",17,8.22812956794094,4.44666214973608,12.0095969861458
"Age group 12",17,2.62102533134108,1.09212825614673,4.14992240653544
"Age group 13",17,1.07229787929372,0.314442990475444,1.83015276811199
"Age group 14",17,1.17241327661369,0.202912847595342,2.14191370563204
